name,bundle_id,os,app_url,listed_pub_id,tl_rel_type
10 News WTSP,5658,com-belo-id3072.app,android,,,no_url
10 News WTSP,5658,com.gannett.local.library.news.wtsp,android,https://www.wtsp.com,5658,DIRECT
10 News WTSP,5658,568148832,ios,http://www.wtsp.com/,5658,DIRECT
11Alive,5665,461033172,ios,http://www.11alive.com,5665,DIRECT
11Alive,5665,com.gannett.local.library.news.wxia,android,https://www.11alive.com/,5665,DIRECT
11Alive WX,5664,com.wxia.android.weather,android,http://www.11alive.com/news/local/mobile/iphone.aspx,,no_app_ads_txt
12 News KPNX,5622,com-gannett-local-library-news-kpnx.app,android,,,no_url
12 News KPNX,5622,953992180,ios,http://www.12news.com/,5622,DIRECT
12News Now - KBMT & K-JAC,5677,419611089,ios,http://www.12newsnow.com/,5677,DIRECT
12News Now - KBMT & K-JAC,5677,446226528,ios,http://www.doapps.com,,Unlisted
13 WMAZ,5653,com.gannett.local.library.news.wmaz,android,http://www.13wmaz.com/,5653,DIRECT
13 WMAZ,5653,467460140,ios,http://www.13wmaz.com/,5653,DIRECT
1Weather PSM,6758,com-handmark-expressweather.app,android,,,no_url
1Weather PSM,6758,1044809694,ios,,,no_url
1Weather PSM,6758,com.onelouder.oneweather,android,,,no_url
2ndline_A9,6721,com.enflick.android.tn2ndLine,android,http://www.2ndline.co,,no_app_ads_txt
2ndline_A9,6721,com-enflick-android-tn2ndlini.app,android,,,no_url
2ndline_A9,6721,com.enflick.android.tn2ndLjzn,android,,,no_url
2ndline_A9,6721,com.enflick.android.tn2ndLioa,android,,,no_url
2ndline_A9,6721,com.enflick.android.tn2ndLioc,android,,,no_url
2ndline_A9,6721,com-enflick-android-tn2ndlinw.app,android,,,no_url
2ndline_A9,6721,com.enflick.android.tn2ndLipe,android,,,no_url
2ndline_A9,6721,com-enflick-android-tn2ndlinf.app,android,,,no_url
2ndline_A9,6721,com.enflick.android.tn2ndLiow,android,,,no_url
2ndline_A9,6721,com.enflick.android.tn2ndLjzk,android,,,no_url
2ndline_A9,6721,com-enflick-android-tn2ndlinv.app,android,,,no_url
2ndline_A9,6721,com.enflick.android.tn2ndLinz,android,,,no_url
2ndline_A9,6721,com.enflick.android.tn2ndLipr,android,,,no_url
2ndline_A9,6721,com.enflick.android.tn2ndLiog,android,,,no_url
2ndline_A9,6721,com.enflick.android.tn2ndLipl,android,,,no_url
2ndline_A9,6721,com.enflick.android.tn2ndLioj,android,,,no_url
2ndline_A9,6721,com.enflick.android.tn2ndLjzf,android,,,no_url
2ndline_A9,6721,com.enflick.android.tn2ndLinb,android,,,no_url
2ndline_A9,6721,com.enflick.android.tn2ndLjya,android,,,no_url
2ndline_A9,6721,com-enflick-android-tn2ndlinu.app,android,,,no_url
2ndline_A9,6721,com.enflick.android.tn2ndLint,android,,,no_url
2ndline_A9,6721,com.enflick.android.tn2ndLiuw,android,,,no_url
2ndline_A9,6721,com-enflick-android-tn2ndlinx.app,android,,,no_url
2ndline_A9,6721,com.enflick.android.tn2ndLind,android,,,no_url
2ndline_A9,6721,com-enflick-android-tn2ndling.app,android,,,no_url
2ndline_A9,6721,com-enflick-android-tn2ndlinh.app,android,,,no_url
2ndline_A9,6721,com.enflick.android.tn2ndLioo,android,,,no_url
2ndline_A9,6721,com.enflick.android.tn2ndLiok,android,,,no_url
2ndline_A9,6721,com.enflick.android.tn2ndLipj,android,,,no_url
2ndline_A9,6721,com.enflick.android.tn2ndLina,android,,,no_url
2ndline_A9,6721,com-enflick-android-tn2ndlinl.app,android,,,no_url
2ndline_A9,6721,com.enflick.android.tn2ndLjzj,android,,,no_url
