Main Daily Publisher,Main Daily Publisher ID,Main Daily Mobile App Bundle Code,os
10 News WTSP,5658,com-belo-id3072.app,android
10 News WTSP,5658,com.gannett.local.library.news.wtsp,android
10 News WTSP,5658,568148832,ios
11Alive,5665,461033172,ios
11Alive,5665,com.gannett.local.library.news.wxia,android
11Alive WX,5664,com.wxia.android.weather,android
12 News KPNX,5622,com-gannett-local-library-news-kpnx.app,android
12 News KPNX,5622,953992180,ios
12News Now - KBMT & K-JAC,5677,419611089,ios
12News Now - KBMT & K-JAC,5677,446226528,ios
13 WMAZ,5653,com.gannett.local.library.news.wmaz,android
13 WMAZ,5653,467460140,ios
1Weather PSM,6758,com-handmark-expressweather.app,android
1Weather PSM,6758,1044809694,ios
1Weather PSM,6758,com.onelouder.oneweather,android
2ndline_A9,6721,com.enflick.android.tn2ndLine,android
2ndline_A9,6721,com-enflick-android-tn2ndlini.app,android
2ndline_A9,6721,com.enflick.android.tn2ndLjzn,android
2ndline_A9,6721,com.enflick.android.tn2ndLioa,android
2ndline_A9,6721,com.enflick.android.tn2ndLioc,android
2ndline_A9,6721,com-enflick-android-tn2ndlinw.app,android
2ndline_A9,6721,com.enflick.android.tn2ndLipe,android
2ndline_A9,6721,com-enflick-android-tn2ndlinf.app,android
2ndline_A9,6721,com.enflick.android.tn2ndLiow,android
2ndline_A9,6721,com.enflick.android.tn2ndLjzk,android
2ndline_A9,6721,com-enflick-android-tn2ndlinv.app,android
2ndline_A9,6721,com.enflick.android.tn2ndLinz,android
2ndline_A9,6721,com.enflick.android.tn2ndLipr,android
2ndline_A9,6721,com.enflick.android.tn2ndLiog,android
2ndline_A9,6721,com.enflick.android.tn2ndLipl,android
2ndline_A9,6721,com.enflick.android.tn2ndLioj,android
2ndline_A9,6721,com.enflick.android.tn2ndLjzf,android
2ndline_A9,6721,com.enflick.android.tn2ndLinb,android
2ndline_A9,6721,com.enflick.android.tn2ndLjya,android
2ndline_A9,6721,com-enflick-android-tn2ndlinu.app,android
2ndline_A9,6721,com.enflick.android.tn2ndLint,android
2ndline_A9,6721,com.enflick.android.tn2ndLiuw,android
2ndline_A9,6721,com-enflick-android-tn2ndlinx.app,android
2ndline_A9,6721,com.enflick.android.tn2ndLind,android
2ndline_A9,6721,com-enflick-android-tn2ndling.app,android
2ndline_A9,6721,com-enflick-android-tn2ndlinh.app,android
2ndline_A9,6721,com.enflick.android.tn2ndLioo,android
2ndline_A9,6721,com.enflick.android.tn2ndLiok,android
2ndline_A9,6721,com.enflick.android.tn2ndLipj,android
2ndline_A9,6721,com.enflick.android.tn2ndLina,android
2ndline_A9,6721,com-enflick-android-tn2ndlinl.app,android
2ndline_A9,6721,com.enflick.android.tn2ndLjzj,android
2ndline_A9,6721,com.enflick.android.tn2ndLjzi,android
2ndline_A9,6721,com.enflick.android.tn2ndLioe,android
2ndline_A9,6721,com.enflick.android.tn2ndLioi,android
2ndline_A9,6721,com.enflick.android.tn2ndLipo,android
2ndline_A9,6721,com.enflick.android.tn2ndLiop,android
2ndline_A9,6721,com-enflick-android-tn2ndlink.app,android
2ndline_A9,6721,com.enflick.android.tn2ndLjzo,android
2ndline_A9,6721,com.enflick.android.tn2ndLiof,android
2ndline_A9,6721,com-enflick-android-tn2ndlinm.app,android
2ndline_A9,6721,com-enflick-android-tn2ndlins.app,android
2ndline_A9,6721,com.enflick.android.tn2ndLioy,android
2ndline_A9,6721,com.enflick.android.tn2ndLipp,android
2ndline_A9,6721,com.enflick.android.tn2ndLiny,android
2ndline_A9,6721,com-enflick-android-tn2ndlinq.app,android
2ndline_A9,6721,com.enflick.android.tn2ndLipg,android
2ndline_A9,6721,com.enflick.android.tn2ndLjzg,android
2ndline_A9,6721,com.enflick.android.tn2ndLioq,android
2ndline_A9,6721,com.enflick.android.tn2ndLinr,android
2ndline_A9,6721,com-enflick-android-tn2ndlinj.app,android
2ndline_A9,6721,com-enflick-android-tn2ndlinp.app,android
2ndline_A9,6721,com.enflick.android.tn2ndLiol,android
2ndline_A9,6721,com.enflick.android.tn2ndLinn,android
2ndline_A9,6721,com.enflick.android.tn2ndLiqd,android
2ndline_A9,6721,com.enflick.android.tn2ndLjzm,android
2ndline_A9,6721,com.enflick.android.tn2ndLipf,android
2ndline_A9,6721,com-enflick-android-tn2ndlino.app,android
2ndline_A9,6721,com.enflick.android.tn2ndLior,android
2ndline_A9,6721,com-enflick-android-tn2ndlinc.app,android
